연도,년월,기온,최고기온,극점최고기온,최저기온,극점최저기온,강수량,상대습도,풍속,최대풍속,최대순간풍속
2005,2005. 08,25.1,28.7,35,22.4,16.5,285.0,75,2.6,8.2,15
2005,2005. 09,21.8,25.7,30.8,18.6,13.8,313.3,71,2.3,8.4,15.3
2005,2005. 10,14.7,19.4,24.9,10.7,3,52.6,65,1.7,5.4,11.1
2005,2005. 11,8.6,12.9,21.8,4.6,-1.1,44.6,55,2.2,8.4,16.8
2005,2005. 12,-3.9,-0.1,11.1,-7.4,-14,10.3,51,2.5,7.6,15.8
2006,2006. 01,-0.2,3.4,9.3,-3.3,-10.1,34.3,57,2.1,6.1,12.1
2006,2006. 02,0.1,4.2,11.5,-4,-14.1,15.7,53,2.6,8.1,15.6
2006,2006. 03,5.2,9.9,17.2,0.9,-6.9,14.0,51,2.9,10.9,20.2
2006,2006. 04,11.6,16.2,22.2,7.7,2.9,51.8,55,3,9.1,16.8
2006,2006. 05,18.4,23.4,28.3,14,10.8,156.2,57,2.5,8.6,14.6
2006,2006. 06,21.8,26.3,32.4,18.1,14.1,168.5,68,2.2,8,13.5
2006,2006. 07,23.1,26,30.1,20.9,17.5,"1,014.0",82,2.3,9.2,16
2006,2006. 08,27,31.1,34.7,23.9,20.8,121.2,69,2.1,7.6,16.2
2006,2006. 09,21.1,25.7,30.3,16.9,11.3,11.1,58,2.1,7.1,13.8
2006,2006. 10,17.9,22.6,27.5,13.9,7.9,30.2,62,2,8.5,17.1
2006,2006. 11,8.4,12.4,20.2,4.5,-1.3,47.6,58,2.4,8.1,15.6
2006,2006. 12,1.4,5.4,12.6,-2,-12.3,17.3,59,2.1,7.2,14.3
2007,2007. 01,0.4,4.1,11.8,-2.8,-7.6,10.8,56,2,8,15.5
2007,2007. 02,4,8.7,14.8,0.1,-8.6,12.6,53,2.3,8.6,14.8
2007,2007. 03,6.1,10.3,16.2,2.3,-7.6,123.5,60,2.7,10,18.2
2007,2007. 04,11.4,16.1,22.5,7.5,1.6,41.1,53,2.8,9.4,18.7
2007,2007. 05,18.1,23.4,30.1,13.6,9,137.6,62,2.6,8.7,17.6
2007,2007. 06,23.2,27.7,33.2,19.2,14.1,54.5,61,2.3,6.9,11.8
2007,2007. 07,24.2,27.8,31.2,21.3,17.7,274.1,75,2.4,7.3,16.1
2007,2007. 08,26.5,29.9,33.2,23.8,19.8,237.6,75,2.6,9.9,18.7
2007,2007. 09,21.5,25.1,31.1,18.6,14.1,241.9,74,2.5,8,13.8
2007,2007. 10,15.1,19.6,26.2,11.3,3.2,39.5,63,2.1,8,14.5
2007,2007. 11,6.7,11.4,19.3,2.8,-5.5,26.4,55,2.2,7.7,14.8
2007,2007. 12,1.8,5.4,13.8,-1.4,-7.4,12.7,60,2.4,8.5,15.6
2008,2008. 01,-1.7,1.9,7.3,-5,-11.1,17.7,50,2.3,6.9,12.8
2008,2008. 02,-1.2,3.2,10.5,-4.9,-10.1,15.0,46,2.7,8.4,13.8
2008,2008. 03,7.3,11.9,19.8,3.7,-1.7,53.9,56,2.6,8.3,12.8
2008,2008. 04,14.1,19.5,28,9.3,3.8,38.5,50,2.7,10.9,19.7
2008,2008. 05,17.7,22.7,28.5,13.1,8.1,97.7,58,2.7,8.7,16.6
2008,2008. 06,21.5,26.1,29.6,17.6,13.7,165.0,65,2.7,7.5,12.5
2008,2008. 07,25.1,28.4,32.9,22.6,20.2,530.8,78,2.4,7.9,15.1
2008,2008. 08,25.3,29.5,35.4,21.8,16.3,251.2,69,2.5,8.6,15.9
2008,2008. 09,22,26.9,32,18,10.3,99.2,64,1.9,6.6,11.5
2008,2008. 10,16.1,21,28.3,12.1,5.6,41.8,62,2,7.2,12.6
2008,2008. 11,7.6,11.7,18.4,3.8,-7.2,19.6,58,2.2,8.4,15.7
