사고발생여부,인구수,생활인구수_주중,생활인구수_주말,전통시장여부,지하철출입구개수,버스정류장개수,과속방지턱개수,교차로개수,횡단보도개수,주거,상업,녹지
0,0,637.8598365,638.4794653,0,0,1,0,0,1,0.999993677,0,0
1,984.6220559,591.3730554,540.6772534,1,0,0,0,0,0,0.579475088,0.419866058,0
0,0,506.6180351,495.0784473,0,0,0,0,0,0,0.942496932,0.055131182,0
0,0,268.7210823,255.6999944,0,0,0,0,0,0,0.979441895,0,0.020521727
1,1897.091817,456.7667578,456.517145,0,0,0,0,0,0,1.000000531,0,0
0,0,245.1936586,271.6807793,0,0,2,0,0,0,0.700290342,0,0.298383374
0,0,145.7351442,140.3725222,0,0,0,0,0,0,0.999836359,0,0
0,0,332.4932488,308.7760916,0,0,0,0,0,2,0.836176372,0.16400486,0
1,0,241.9259783,230.9857994,0,0,2,0,0,3,0.664500835,0.313464477,0.021762537
1,1309.272661,389.3204377,415.9972327,0,0,0,0,0,0,0.837799805,0,0
1,2650.819878,516.7682697,581.7792804,0,0,0,0,1,1,0.992832473,0.007164154,0
0,1801.269056,564.4779752,526.1408744,0,0,0,0,0,0,0.999965457,0,0
0,1778.123125,576.8587388,535.3491144,0,0,0,0,0,0,0.99996112,0,0
1,0,542.2470019,488.2480259,1,0,0,0,1,0,1.000002312,0,0
0,0,682.9475772,599.8942301,1,0,0,0,0,0,0.999803145,0,0
1,0,329.7276491,293.5999818,1,0,0,2,1,5,0.908615412,0.091387318,0
1,2421.212712,652.4648982,681.2922103,0,0,0,1,0,0,0.995111315,0.00366406,0
0,0,169.3954056,161.9938865,0,0,0,0,0,0,0.999838236,0,0
0,0,295.5898652,276.0119183,0,0,3,0,0,0,0.730442351,0,0.269579714
0,0,367.1887922,380.1097654,0,0,1,0,0,0,0.520829663,0,0.202061804
0,0,633.0294028,663.9251627,0,0,0,0,0,1,0.987961842,0,0
0,0,318.9938944,296.1124681,0,0,0,0,0,2,0.836907282,0.163266515,0
0,0,267.3152852,283.3587174,0,0,0,0,0,0,0.800597864,0,0.199421575
