지역1,지역2,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
경북,문경시,143300,143333,143350,143283,142850,142600,142183,142100,141750,141550,141267,141250
경북,경산시,186262,185305,184561,184610,184402,184543,191804,191786,191560,191321,191173,191077
경북,칠곡군,104917,103458,102771,102604,102208,101833,107000,106690,105970,105550,104470,104070
경남,창원시,199918,198506,197408,197003,197223,198870,203255,204877,205834,206074,205779,206894
경남,진주시,187282,186080,183739,182245,181548,181043,182016,182099,182286,182859,183193,184016
경남,통영시,138792,138625,139042,139153,139153,139847,148500,149053,149118,149289,149303,149526
경남,사천시,129520,127840,126320,124370,123150,122630,127880,127694,127519,127407,127278,126972
경남,김해시,159419,158235,157757,157515,157831,158618,160399,161145,162268,162913,163007,163775
경남,밀양시,133038,131807,130569,128795,127869,127476,127966,127398,127250,127091,126784,126648
경남,거제시,152038,151975,151589,150481,149582,149437,154366,154134,154067,153902,153518,153506
경남,양산시,174004,173385,172817,172222,171897,171464,173243,172993,172711,172633,172617,172508
제주,제주시,316235,315485,314279,313176,312206,311176,306071,305771,305400,304886,304057,303871
제주,서귀포시,239955,238955,237727,236932,235898,235477,229000,228054,227228,226152,225152,224174
