Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,6980,7000,6830,6930,6639.058594,475106
2017-01-03,6940,6940,6740,6760,6476.195801,1052791
2017-01-04,6740,6870,6730,6780,6495.355957,813251
2017-01-05,6780,6890,6770,6860,6571.99707,476702
2017-01-06,6860,6940,6810,6900,6610.318359,502833
2017-01-09,6900,6900,6790,6880,6591.157715,539291
2017-01-10,6810,6860,6750,6790,6504.936523,454422
2017-01-11,6750,6850,6750,6800,6514.516602,491988
2017-01-12,6800,6850,6750,6840,6552.836914,454541
2017-01-13,6910,6910,6730,6760,6476.195801,554305
2017-01-16,6750,6760,6630,6690,6409.134766,635417
2017-01-17,6670,6730,6640,6650,6370.813965,434324
2017-01-18,6630,6730,6610,6720,6437.875,477638
2017-01-19,6710,6780,6630,6630,6351.653809,478992
2017-01-20,6600,6690,6600,6630,6351.653809,331740
2017-01-23,6620,6770,6620,6740,6457.035645,447228
2017-01-24,6720,6720,6590,6620,6342.073242,429408
2017-01-25,6650,6660,6470,6490,6217.53125,466330
2017-01-26,6510,6710,6510,6680,6399.554688,579127
2017-01-31,6650,6700,6560,6610,6332.493164,375156
2017-02-01,6670,6670,6600,6650,6370.813965,500279
2017-02-02,6600,6650,6540,6600,6322.913086,839384
2017-02-03,6600,6610,6510,6600,6322.913086,716385
2017-02-06,6670,6960,6590,6960,6667.799316,1484999
2017-02-07,7040,7450,6980,7410,7098.906738,4498536
2017-02-08,7370,7560,7340,7480,7165.967773,2703202
2017-02-09,7480,7650,7480,7590,7271.350098,2676044
2017-02-10,7520,7670,7510,7620,7300.09082,1524627
2017-02-13,7620,7690,7550,7670,7347.991699,1321895
2017-02-14,7650,7680,7480,7620,7300.09082,1106778
2017-02-15,7630,7650,7540,7650,7328.830566,938307
2017-02-16,7650,7750,7590,7620,7300.09082,943339
2017-02-17,7610,7620,7470,7540,7223.44873,816516
2017-02-20,7540,7540,7450,7450,7137.228027,534193
