year_month,year,month,avg_temp,avg_max_temp,max_temp,avg_min_temp,min_temp,rain,humidity,wind
2014.03,2014,3,8,13,24,4,-5,7,60,3
2014.04,2014,4,14,20,26,9,2,31,60,3
2014.05,2014,5,19,25,33,14,7,63,59,3
2014.06,2014,6,23,28,31,20,17,98,73,3
2014.07,2014,7,26,31,34,23,19,208,74,3
2014.08,2014,8,25,29,36,22,18,173,77,2
2014.09,2014,9,22,27,31,18,15,88,69,2
2014.1,2014,10,16,21,29,11,3,52,63,2
2014.11,2014,11,9,14,23,5,-3,42,61,3
2014.12,2014,12,-3,2,8,-7,-13,18,56,3
2015.01,2015,1,-1,4,9,-5,-10,11,56,3
2015.02,2015,2,1,6,13,-3,-13,23,59,3
2015.03,2015,3,6,12,22,1,-7,10,45,3
2015.04,2015,4,13,19,28,8,4,81,55,3
2015.05,2015,5,19,25,32,14,8,29,53,3
2015.06,2015,6,24,30,35,19,16,99,60,3
2015.07,2015,7,26,30,36,23,18,226,71,3
2015.08,2015,8,26,31,34,23,19,73,70,2
2015.09,2015,9,22,28,31,18,14,26,56,2
2015.1,2015,10,16,21,27,11,1,82,61,2
2015.11,2015,11,9,13,20,6,-7,105,74,3
2015.12,2015,12,2,6,12,-2,-10,29,60,2
2016.01,2016,1,-3,1,10,-7,-18,1,53,3
2016.02,2016,2,0,5,14,-4,-10,48,52,3
2016.03,2016,3,7,13,21,2,-8,41,51,2
2016.04,2016,4,14,20,30,9,5,77,55,2
2016.05,2016,5,20,26,32,14,9,161,56,2
2016.06,2016,6,24,29,32,20,17,54,63,2
2016.07,2016,7,26,30,34,23,20,358,73,2
2016.08,2016,8,28,33,37,25,16,67,64,2
2016.09,2016,9,23,28,31,19,14,33,65,2
2016.1,2016,10,16,21,29,12,1,75,62,2
2016.11,2016,11,7,12,19,3,-6,17,57,2
2016.12,2016,12,1,6,14,-3,-10,61,59,2
2017.01,2017,1,-2,3,11,-6,-13,15,55,2
2017.02,2017,2,0,5,12,-5,-9,11,54,3
2017.03,2017,3,6,12,19,2,-5,8,48,2
2017.04,2017,4,14,20,28,9,3,62,52,3
2017.05,2017,5,20,25,30,14,10,16,52,2
2017.06,2017,6,23,29,34,19,15,67,57,2
2017.07,2017,7,27,30,35,24,22,621,77,2
2017.08,2017,8,26,30,35,23,16,297,71,2
2017.09,2017,9,22,27,31,18,11,35,61,2
2017.1,2017,10,16,23,29,12,3,27,56,2
2017.11,2017,11,6,11,18,1,-7,41,54,2
2017.12,2017,12,-2,2,9,-6,-12,35,56,2
2018.01,2018,1,-4,0,9,-7,-18,9,48,2
2018.02,2018,2,-2,3,10,-6,-13,30,45,2
2018.03,2018,3,8,14,22,4,-7,50,59,2
2018.04,2018,4,13,19,26,8,0,130,55,2
2018.05,2018,5,18,23,30,13,7,222,63,2
2018.06,2018,6,23,28,33,19,16,172,63,2
2018.07,2018,7,28,32,38,24,18,186,68,2
2018.08,2018,8,29,33,40,25,20,203,65,2
2018.09,2018,9,22,26,31,18,11,69,61,2
2018.1,2018,10,13,19,26,9,1,121,59,2
2018.11,2018,11,8,13,19,4,-3,79,58,1
2018.12,2018,12,-1,4,14,-5,-14,16,46,2
2019.01,2019,1,-1,4,9,-5,-10,0,46,2
2019.02,2019,2,1,6,15,-3,-10,24,47,2
2019.03,2019,3,7,12,18,3,-2,27,51,2
2019.04,2019,4,12,18,28,7,0,47,51,2
2019.05,2019,5,19,26,33,14,8,38,47,2
2019.06,2019,6,23,28,33,18,14,74,61,2
2019.07,2019,7,26,30,36,23,19,194,69,2
2019.08,2019,8,27,32,37,24,19,191,69,2
2019.09,2019,9,23,27,31,19,14,140,65,2
2019.1,2019,10,16,22,28,12,5,56,62,2
2019.11,2019,11,8,13,22,3,-5,79,56,2
