CODE,POPULATION
서울특별시,9720846
부산광역시,3404423
대구광역시,2427954
인천광역시,2947217
광주광역시,1455048
대전광역시,1471040
울산광역시,1142190
세종특별자치시,345341
경기도,13338020
강원도,1539282
충청북도,1597593
충청남도,2119771
전라북도,1808802
전라남도,1854618
경상북도,2646493
경상남도,3349454
제주특별자치도,671316
