SIG_CD,SID_KOR_NM,SIG_KOR_NM,SIG_ENG_NM
"43770",충북,음성군,Eumseong-gun
"43800",충북,단양군,Danyang-gun
"44131",충청,천안시동남구,"Dongnam-gu, Cheonan-si"
"44133",충청,천안시서북구,"Seobuk-gu, Cheonan-si"
"44150",충청,공주시,Gongju-si
"44180",충청,보령시,Boryeong-si
"44200",충청,아산시,Asan-si
"44210",충청,서산시,Seosan-si
"44230",충청,논산시,Nonsan-si
"44250",충청,계룡시,Gyeryong-si
"44270",충청,당진시,Dangjin-si
"44710",충청,금산군,Geumsan-gun
"44760",충청,부여군,Buyeo-gun
"44770",충청,서천군,Seocheon-gun
"44790",충청,청양군,Cheongyang-gun
"44800",충청,홍성군,Hongseong-gun
"44810",충청,예산군,Yesan-gun
"44825",충청,태안군,Taean-gun
"45111",전북,전주시완산구,"Wansan-gu, Jeonju-si"
"45113",전북,전주시덕진구,"Deokjin-gu, Jeonju-si"
"45130",전북,군산시,Gunsan-si
"45140",전북,익산시,Iksan-si
"45180",전북,정읍시,Jeongeup-si
"45190",전북,남원시,Namwon-si
"45210",전북,김제시,Gimje-si
"45710",전북,완주군,Wanju-gun
"45720",전북,진안군,Jinan-gun
"45730",전북,무주군,Muju-gun
"45740",전북,장수군,Jangsu-gun
"45750",전북,임실군,Imsil-gun
"45770",전북,순창군,Sunchang-gun
"45790",전북,고창군,Gochang-gun
"45800",전북,부안군,Buan-gun
"46110",전남,목포시,Mokpo-si
"46130",전남,여수시,Yeosu-si
"46150",전남,순천시,Suncheon-si
"46170",전남,나주시,Naju-si
"46230",전남,광양시,Gwangyang-si
"46710",전남,담양군,Damyang-gun
"46720",전남,곡성군,Gokseong-gun
"46730",전남,구례군,Gurye-gun
"46770",전남,고흥군,Goheung-gun
"46780",전남,보성군,Boseong-gun
"46790",전남,화순군,Hwasun-gun
"46800",전남,장흥군,Jangheung-gun
"46810",전남,강진군,Gangjin-gun
"46820",전남,해남군,Haenam-gun
"46830",전남,영암군,Yeongam-gun
"46840",전남,무안군,Muan-gun
"46860",전남,함평군,Hampyeong-gun
"46870",전남,영광군,Yeonggwang-gun
"46880",전남,장성군,Jangseong-gun
"46890",전남,완도군,Wando-gun
"46900",전남,진도군,Jindo-gun
"46910",전남,신안군,Sinan-gun
"47111",경북,포항시 남구,"Nam-gu, Pohang-si"
"47113",경북,포항시 북구,"Buk-gu, Pohang-si"
"47130",경북,경주시,Gyeongju-si
"47150",경북,김천시,Gimcheon-si
"47170",경북,안동시,Andong-si
"47190",경북,구미시,Gumi-si
"47210",경북,영주시,Yeongju-si
"47230",경북,영천시,Yeongcheon-si
"47250",경북,상주시,Sangju-si
"47280",경북,문경시,Mungyeong-si
"47290",경북,경산시,Gyeongsan-si
"47720",경북,군위군,Gunwi-gun
"47730",경북,의성군,Uiseong-gun
"47750",경북,청송군,Cheongsong-gun
"47760",경북,영양군,Yeongyang-gun
"47770",경북,영덕군,Yeongdeok-gun
"47820",경북,청도군,Cheongdo-gun
"47830",경북,고령군,Goryeong-gun
"47840",경북,성주군,Seongju-gun
"47850",경북,칠곡군,Chilgok-gun
"47900",경북,예천군,Yecheon-gun
"47920",경북,봉화군,Bonghwa-gun
"47930",경북,울진군,Uljin-gun
"47940",경북,울릉군,Ulleung-gun
"48121",경남,창원시 의창구,"Uichang-gu, Changwon-si"
"48123",경남,창원시 성산구,"Seongsan-gu, Changwon-si"
"48125",경남,창원시 마산합포구,"Masanhappo-gu, Changwon-si"
"48127",경남,창원시 마산회원구,"Masanhoewon-gu, Changwon-si"
"48129",경남,창원시 진해구,"Jinhae-gu, Changwon-si"
