year,male,female
1995,533,527
1996,526,521
1997,521,517
1998,517,515
1999,517,515
2000,520,518
2001,518,516
2002,514,514
2003,513,514
2004,513,516
2005,512,517
2006,515,521
2007,517,525
2008,518,527
2009,518,528
2010,524,534
2011,521,532
2012,516,528
2013,513,526
2014,511,526
2015,506,523
2016,501,520
2017,496,517
2018,491,514
