order_date,product,quantity,amount
2019-01-03,p1012581,1,1000
2019-01-03,p1231011,1,909
2019-01-03,p1119071,2,2182
2019-01-03,p1133371,1,1000
2019-01-03,p1246581,1,909
2019-01-03,p1012581,1,1000
2019-01-03,p1005771,2,3300
2019-01-03,p1012581,1,1000
2019-01-03,p1013161,1,2600
2019-01-03,p1194801,1,8200
2019-01-03,p1097821,1,1000
2019-01-03,p1178011,1,8800
2019-01-03,p1005771,1,1650
2019-01-03,p1133371,3,3000
2019-01-03,p1162631,1,3700
2019-01-03,p1012581,1,1000
2019-01-03,p1119071,1,1091
2019-01-03,p1013161,1,2600
2019-01-03,p1005771,2,3300
2019-01-03,p1026741,1,3227
2019-01-03,p1054261,1,2091
2019-01-03,p1097591,1,600
2019-01-03,p1005771,1,1650
2019-01-03,p1194801,1,8200
2019-01-03,p1100371,4,1600
2019-01-03,p1012751,1,1350
2019-01-03,p1030071,1,3950
2019-01-03,p1097591,1,600
2019-01-03,p1178011,1,8800
2019-01-03,p1097831,1,1455
2019-01-03,p1005771,1,1650
2019-01-03,p1133371,4,2800
2019-01-03,p1072601,1,3700
2019-01-03,p1001771,1,3150
2019-01-03,p1097821,6,6000
2019-01-03,p1097831,4,5820
2019-01-03,p1127201,1,3727
2019-01-03,p1005771,2,3300
2019-01-03,p1052661,2,2910
2019-01-03,p1133371,1,1000
2019-01-03,p1001771,1,3150
2019-01-03,p1207281,1,2600
2019-01-03,p1194801,1,9200
2019-01-03,p1097591,1,600
2019-01-03,p1005771,1,1650
2019-01-03,p1178011,1,8800
2019-01-03,p1097821,1,1000
2019-01-03,p1194801,1,8200
2019-01-03,p1012581,1,1000
2019-01-03,p1012761,1,1700
2019-01-03,p1234751,1,909
2019-01-03,p1178011,1,8800
2019-01-03,p1005891,1,1750
2019-01-03,p1139701,2,2090
2019-01-03,p1097821,1,1000
2019-01-03,p1100371,4,1600
2019-01-04,p1178011,1,8800
2019-01-04,p1072601,1,4600
2019-01-04,p1149411,1,1000
2019-01-04,p1012751,1,1350
2019-01-04,p1005771,1,1850
2019-01-04,p1097821,1,1000
2019-01-04,p1005771,1,1850
2019-01-04,p1005891,1,1950
2019-01-04,p1012811,1,2500
2019-01-04,p1072601,1,4600
2019-01-04,p1162631,1,4600
2019-01-04,p1052661,1,1455
2019-01-04,p1097821,1,1000
2019-01-04,p1097831,1,1455
2019-01-04,p1012811,2,5000
2019-01-04,p1175481,2,2600
2019-01-04,p1036481,3,3150
2019-01-04,p1012811,1,2500
2019-01-04,p1100371,2,800
2019-01-04,p1012811,1,2500
2019-01-04,p1072601,1,4600
2019-01-04,p1012761,1,1700
2019-01-04,p1005891,1,1950
