,Date,High,Low,Open,Close,Volume,Adj Close
4528,2018-01-02,172.3000031,169.2599945,170.16000369999998,172.2599945,25555900,166.80401609999998
4529,2018-01-03,174.5500031,171.96000669999998,172.52999880000002,172.2299957,29517900,166.77496340000002
4530,2018-01-04,173.47000119999998,172.08000180000002,172.53999330000002,173.02999880000002,22434600,167.5496216
4531,2018-01-05,175.36999509999998,173.0500031,173.4400024,175.0,23660000,169.4572144
4532,2018-01-08,175.6100006,173.92999269999999,174.3500061,174.3500061,20567800,168.82781980000001
4533,2018-01-09,175.0599976,173.41000369999998,174.5500031,174.33000180000002,21584000,168.8084564
4534,2018-01-10,174.3000031,173.0,173.16000369999998,174.28999330000002,23959900,168.7697144
4535,2018-01-11,175.4900055,174.4900055,174.58999630000002,175.27999880000002,18667700,169.7283783
4536,2018-01-12,177.3600006,175.6499939,176.17999269999999,177.08999630000002,25418100,171.48106380000002
4537,2018-01-16,179.3899994,176.1399994,177.8999939,176.1900024,29565900,170.6095581
4538,2018-01-17,179.25,175.07000730000001,176.1499939,179.1000061,34386800,173.4273987
4539,2018-01-18,180.1000061,178.25,179.36999509999998,179.2599945,31193400,173.5823212
4540,2018-01-19,179.58000180000002,177.41000369999998,178.6100006,178.46000669999998,32425100,172.807663
4541,2018-01-22,177.77999880000002,176.6000061,177.3000031,177.0,27108600,171.3939209
4542,2018-01-23,179.4400024,176.82000730000001,177.3000031,177.03999330000002,32689100,171.4326324
4543,2018-01-24,177.3000031,173.1999969,177.25,174.22000119999998,51105100,168.7019501
4544,2018-01-25,174.9499969,170.52999880000002,174.5099945,171.1100006,41529000,165.6904449
4545,2018-01-26,172.0,170.0599976,172.0,171.5099945,39143000,166.07775880000003
4546,2018-01-29,170.16000369999998,167.07000730000001,170.16000369999998,167.96000669999998,50640400,162.640213
4547,2018-01-30,167.36999509999998,164.6999969,165.52999880000002,166.97000119999998,46048200,161.6815796
4548,2018-01-31,168.4400024,166.5,166.86999509999998,167.42999269999999,32478900,162.1270142
4549,2018-02-01,168.61999509999998,166.7599945,167.16999819999998,167.77999880000002,47230800,162.4659119
4550,2018-02-02,166.8000031,160.1000061,166.0,160.5,86593800,155.41651919999998
4551,2018-02-05,163.88000490000002,156.0,159.1000061,156.4900055,72738500,151.53350830000002
4552,2018-02-06,163.72000119999998,154.0,154.83000180000002,163.02999880000002,68243800,157.866333
4553,2018-02-07,163.3999939,159.07000730000001,163.08999630000002,159.53999330000002,51608600,154.4868774
4554,2018-02-08,161.0,155.02999880000002,160.28999330000002,155.1499939,54390500,150.2359467
4555,2018-02-09,157.8899994,150.2400055,157.07000730000001,156.41000369999998,70672600,152.07354740000002
4556,2018-02-12,163.8899994,157.5099945,158.5,162.71000669999998,60819500,158.1988831
4557,2018-02-13,164.75,161.6499939,161.9499969,164.33999630000002,32549200,159.7836761
