year,k_male,k_female,f_male,f_female
2011,5074 ,5176 ,135,145
2012,5041 ,5154 ,118,129
2013,5008 ,5136 ,118,126
2014,4980 ,5123 ,129,137
2015,4931 ,5091 ,133,142
2016,4877 ,5054 ,131,143
2017,4830 ,5027 ,128,140
2018,4774 ,4992 ,137,147
2019,4744 ,4985 ,134,148
2020,4702 ,4967 ,115,128
2021,4618 ,4891 ,104,123
2022,4570 ,4858 ,106,134
2023,4540 ,4846 ,109,143
2024,4505 ,4826 ,115,151
