year,k_male,k_female,f_male,f_female
2001,5142,5122,34,34
2002,5109,5098,36,37
2003,5085,5089,49,54
2004,5075,5098,54,61
2005,5062,5105,61,68
2006,5062,5119,83,92
2007,5063,5130,111,118
2008,5062,5139,123,132
2009,5059,5149,122,134
2010,5111,5201,125,137
