OrderID,Seq,OrderDate,ProductID,Qty,Amt,CustomerID
1,1,2016-01-02,p1030071,2,7900,c107853
2,1,2016-01-02,p1012761,1,1700,c110521
2,2,2016-01-02,p1012581,1,1000,c110521
2,3,2016-01-02,p1175481,1,1300,c110521
2,4,2016-01-02,p1178011,1,8800,c110521
3,1,2016-01-02,p1012751,2,2700,c143548
4,1,2016-01-02,p1097821,1,1000,c256672
4,2,2016-01-02,p1178011,1,8800,c256672
5,1,2016-01-02,p1178011,1,8800,c260294
5,2,2016-01-02,p1194801,1,8200,c260294
5,3,2016-01-02,p1012751,1,1350,c260294
5,4,2016-01-02,p1089531,1,2600,c260294
5,5,2016-01-02,p1133371,2,2000,c260294
6,1,2016-01-02,p1178011,1,8800,c274126
6,2,2016-01-02,p1005771,1,1650,c274126
6,3,2016-01-02,p1072601,1,3700,c274126
6,4,2016-01-02,p1097821,1,1000,c274126
6,5,2016-01-02,p1052661,2,2910,c274126
6,6,2016-01-02,p1194801,2,16400,c274126
7,1,2016-01-02,p1175481,1,1300,c275598
7,2,2016-01-02,p1072601,2,7400,c275598
7,3,2016-01-02,p1012581,1,1000,c275598
7,4,2016-01-02,p1005771,1,1650,c275598
7,5,2016-01-02,p1005891,2,3500,c275598
8,1,2016-01-02,p1175481,1,1300,c276666
9,1,2016-01-02,p1005891,1,1750,c337999
9,2,2016-01-02,p1012811,1,2500,c337999
9,3,2016-01-02,p1072601,1,3700,c337999
10,1,2016-01-02,p1178011,1,8800,c350776
10,2,2016-01-02,p1012581,1,1000,c350776
10,3,2016-01-02,p1207281,1,2600,c350776
11,1,2016-01-02,p1178011,1,8800,c130428
12,1,2016-01-02,p1012751,1,1350,c147397
13,1,2016-01-02,p1012811,1,2500,c148616
14,1,2016-01-02,p1030071,1,3950,c151657
15,1,2016-01-02,p1072601,1,3700,c179219
15,2,2016-01-02,p1012641,1,1350,c179219
16,1,2016-01-02,p1178011,1,8800,c222420
17,1,2016-01-02,p1052661,1,1455,c226725
17,2,2016-01-02,p1097821,1,1000,c226725
17,3,2016-01-02,p1139681,2,1818,c226725
17,4,2016-01-02,p1139701,2,2090,c226725
18,1,2016-01-02,p1012751,1,1350,c258537
18,2,2016-01-02,p1005771,1,1650,c258537
18,3,2016-01-02,p1012811,1,2500,c258537
18,4,2016-01-02,p1072601,1,3700,c258537
18,5,2016-01-02,p1119071,1,1091,c258537
18,6,2016-01-02,p1194801,1,8200,c258537
19,1,2016-01-02,p1178011,1,8800,c267551
20,1,2016-01-02,p1012761,2,3400,c302768
21,1,2016-01-02,p1012761,1,1700,c349924
21,2,2016-01-02,p1234751,2,1818,c349924
21,3,2016-01-02,p1235451,1,1227,c349924
22,1,2016-01-02,p1072601,1,3700,c365633
23,1,2016-01-02,p1012761,1,1700,c365956
24,1,2016-01-02,p1005771,1,1650,c047907
25,1,2016-01-02,p1005891,1,1750,c090006
25,2,2016-01-02,p1119071,1,1091,c090006
26,1,2016-01-02,p1175481,1,1300,c139786
27,1,2016-01-02,p1175481,1,1300,c171257
27,2,2016-01-02,p1194801,2,16400,c171257
27,3,2016-01-02,p1162631,1,3700,c171257
27,4,2016-01-02,p1012761,1,1700,c171257
27,5,2016-01-02,p1100371,3,1200,c171257
27,6,2016-01-02,p1246581,3,2727,c171257
27,7,2016-01-02,p1201601,1,2500,c171257
27,8,2016-01-02,p1207281,1,2600,c171257
28,1,2016-01-02,p1012811,1,2500,c337211
28,2,2016-01-02,p1052661,1,1455,c337211
28,3,2016-01-02,p1097831,1,1455,c337211
28,4,2016-01-02,p1178011,1,8800,c337211
28,5,2016-01-02,p1207281,1,2600,c337211
29,1,2016-01-02,p1005771,1,1650,c366858
29,2,2016-01-02,p1005891,1,1750,c366858
30,1,2016-01-02,p1097821,1,1000,c082866
30,2,2016-01-02,p1072601,2,7400,c082866
30,3,2016-01-02,p1013161,1,2600,c082866
30,4,2016-01-02,p1012751,1,1350,c082866
31,1,2016-01-02,p1005891,1,1750,c083862
31,2,2016-01-02,p1175481,1,1300,c083862
31,3,2016-01-02,p1026741,2,6454,c083862
32,1,2016-01-02,p1175481,1,1300,c105415
33,1,2016-01-02,p1036481,2,2100,c150417
33,2,2016-01-02,p1175481,1,1300,c150417
34,1,2016-01-02,p1175481,2,2600,c268330
34,2,2016-01-02,p1178011,1,8800,c268330
34,3,2016-01-02,p1246581,3,2727,c268330
35,1,2016-01-02,p1072601,2,7400,c367340
35,2,2016-01-02,p1005771,1,1650,c367340
36,1,2016-01-02,p1097821,1,1000,c085558
36,2,2016-01-02,p1178011,1,8800,c085558
36,3,2016-01-02,p1097831,1,1455,c085558
36,4,2016-01-02,p1052661,1,1455,c085558
37,1,2016-01-02,p1072601,1,3700,c090821
37,2,2016-01-02,p1178011,1,8800,c090821
38,1,2016-01-02,p1001771,1,3150,c115512
39,1,2016-01-02,p1012641,1,1350,c118603
40,1,2016-01-02,p1005891,1,1750,c134441
41,1,2016-01-02,p1012751,1,1350,c161685
42,1,2016-01-02,p1175481,1,1300,c187241
42,2,2016-01-02,p1005771,1,1650,c187241
42,3,2016-01-02,p1072601,1,3700,c187241
43,1,2016-01-02,p1133371,1,800,c226603
43,2,2016-01-02,p1178011,1,8800,c226603
43,3,2016-01-02,p1072601,2,7400,c226603
44,1,2016-01-02,p1005891,2,3500,c232687
44,2,2016-01-02,p1175481,1,1300,c232687
45,1,2016-01-02,p1030071,1,3950,c263277
45,2,2016-01-02,p1127201,1,3727,c263277
45,3,2016-01-02,p1207281,1,2600,c263277
46,1,2016-01-02,p1052661,2,2910,c273437
47,1,2016-01-02,p1012761,1,1700,c351898
48,1,2016-01-02,p1012581,1,1000,c124389
49,1,2016-01-02,p1100371,1,400,c293494
50,1,2016-01-02,p1097591,1,600,c343469
50,2,2016-01-02,p1194801,1,8200,c343469
50,3,2016-01-02,p1012581,1,1000,c343469
51,1,2016-01-02,p1012641,1,1350,c029643
51,2,2016-01-02,p1175481,1,1300,c029643
52,1,2016-01-02,p1201601,1,2500,c121303
52,2,2016-01-02,p1005621,1,2900,c121303
52,3,2016-01-02,p1012751,1,1350,c121303
52,4,2016-01-02,p1052661,1,1455,c121303
52,5,2016-01-02,p1072601,1,3700,c121303
52,6,2016-01-02,p1097821,1,1000,c121303
52,7,2016-01-02,p1097831,1,1455,c121303
52,8,2016-01-02,p1149391,1,909,c121303
52,9,2016-01-02,p1149401,1,909,c121303
52,10,2016-01-02,p1152861,1,1091,c121303
53,1,2016-01-02,p1097821,1,1000,c163488
53,2,2016-01-02,p1012761,1,1700,c163488
53,3,2016-01-02,p1005891,1,1750,c163488
54,1,2016-01-02,p1012581,1,1000,c212716
54,2,2016-01-02,p1100371,3,1200,c212716
54,3,2016-01-02,p1133371,1,800,c212716
54,4,2016-01-02,p1013161,1,2600,c212716
54,5,2016-01-02,p1152861,1,1091,c212716
54,6,2016-01-02,p1005771,1,1650,c212716
54,7,2016-01-02,p1089531,1,2600,c212716
54,8,2016-01-02,p1194801,1,8200,c212716
55,1,2016-01-02,p1012751,1,1350,c280590
55,2,2016-01-02,p1036481,2,2100,c280590
56,1,2016-01-02,p1097821,1,1000,c314136
56,2,2016-01-02,p1175481,1,1300,c314136
57,1,2016-01-02,p1005771,2,3300,c068640
58,1,2016-01-02,p1005771,1,1650,c104962
59,1,2016-01-02,p1005891,1,1750,c111738
59,2,2016-01-02,p1089531,1,2600,c111738
59,3,2016-01-02,p1175481,1,1300,c111738
60,1,2016-01-02,p1072601,1,3700,c156419
61,1,2016-01-02,p1005621,1,2900,c177887
61,2,2016-01-02,p1012761,1,1700,c177887
61,3,2016-01-02,p1012751,1,1350,c177887
62,1,2016-01-02,p1133371,1,1000,c222461
62,2,2016-01-02,p1005891,2,3500,c222461
62,3,2016-01-02,p1012581,1,1000,c222461
62,4,2016-01-02,p1012641,1,1350,c222461
62,5,2016-01-02,p1175481,1,1300,c222461
62,6,2016-01-02,p1246581,1,909,c222461
63,1,2016-01-02,p1175481,1,1300,c306199
64,1,2016-01-02,p1194801,1,8200,c312185
64,2,2016-01-02,p1012751,1,1350,c312185
64,3,2016-01-02,p1207281,1,2600,c312185
65,1,2016-01-02,p1012641,1,1350,c319034
65,2,2016-01-02,p1012761,1,1700,c319034
66,1,2016-01-02,p1012811,1,2500,c337831
66,2,2016-01-02,p1133371,1,800,c337831
66,3,2016-01-02,p1100371,3,1200,c337831
66,4,2016-01-02,p1072601,1,3700,c337831
1,1,2016-01-03,p1005771,2,3300,c037915
1,2,2016-01-03,p1012641,1,1350,c037915
1,3,2016-01-03,p1036481,1,1050,c037915
1,4,2016-01-03,p1127201,1,3727,c037915
1,5,2016-01-03,p1133371,2,2000,c037915
2,1,2016-01-03,p1052661,2,2910,c068394
3,1,2016-01-03,p1139681,2,1818,c076781
3,2,2016-01-03,p1133371,2,1600,c076781
3,3,2016-01-03,p1246581,1,818,c076781
3,4,2016-01-03,p1246581,1,909,c076781
3,5,2016-01-03,p1005771,1,1650,c076781
4,1,2016-01-03,p1005771,1,1650,c111027
4,2,2016-01-03,p1133371,2,2000,c111027
5,1,2016-01-03,p1005771,1,1650,c115806
6,1,2016-01-03,p1012641,1,1350,c121138
7,1,2016-01-03,p1005771,1,1650,c290664
7,2,2016-01-03,p1097591,1,600,c290664
7,3,2016-01-03,p1012811,1,2500,c290664
7,4,2016-01-03,p1178011,1,8800,c290664
8,1,2016-01-03,p1012581,1,1000,c359801
9,1,2016-01-03,p1231011,1,909,c108482
10,1,2016-01-03,p1119071,2,2182,c130574
11,1,2016-01-03,p1133371,1,1000,c272388
12,1,2016-01-03,p1246581,1,909,c275305
13,1,2016-01-03,p1012581,1,1000,c349205
14,1,2016-01-03,p1005771,2,3300,c039211
14,2,2016-01-03,p1012581,1,1000,c039211
14,3,2016-01-03,p1013161,1,2600,c039211
14,4,2016-01-03,p1194801,1,8200,c039211
15,1,2016-01-03,p1097821,1,1000,c050169
15,2,2016-01-03,p1178011,1,8800,c050169
15,3,2016-01-03,p1005771,1,1650,c050169
16,1,2016-01-03,p1133371,3,3000,c123918
17,1,2016-01-03,p1162631,1,3700,c171257
17,2,2016-01-03,p1012581,1,1000,c171257
18,1,2016-01-03,p1119071,1,1091,c214899
19,1,2016-01-03,p1013161,1,2600,c228671
20,1,2016-01-03,p1005771,2,3300,c237792
21,1,2016-01-03,p1026741,1,3227,c303135
21,2,2016-01-03,p1054261,1,2091,c303135
21,3,2016-01-03,p1097591,1,600,c303135
21,4,2016-01-03,p1005771,1,1650,c303135
22,1,2016-01-03,p1194801,1,8200,c328823
23,1,2016-01-03,p1100371,4,1600,c024546
24,1,2016-01-03,p1012751,1,1350,c051771
25,1,2016-01-03,p1030071,1,3950,c091352
25,2,2016-01-03,p1097591,1,600,c091352
26,1,2016-01-03,p1178011,1,8800,c098957
26,2,2016-01-03,p1097831,1,1455,c098957
27,1,2016-01-03,p1005771,1,1650,c057902
27,2,2016-01-03,p1133371,4,2800,c057902
27,3,2016-01-03,p1072601,1,3700,c057902
28,1,2016-01-03,p1001771,1,3150,c083862
29,1,2016-01-03,p1097821,6,6000,c108900
29,2,2016-01-03,p1097831,4,5820,c108900
29,3,2016-01-03,p1127201,1,3727,c108900
29,4,2016-01-03,p1005771,2,3300,c108900
29,5,2016-01-03,p1052661,2,2910,c108900
30,1,2016-01-03,p1133371,1,1000,c304973
