Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,5260,5270,5110,5180,5180,902071
2019-01-03,5260,5560,5220,5490,5490,4795141
2019-01-04,5490,5700,5410,5650,5650,2735244
2019-01-07,5660,5760,5520,5710,5710,2298026
2019-01-08,5720,5800,5670,5720,5720,1392857
2019-01-09,5700,5790,5700,5740,5740,1463454
2019-01-10,5780,5810,5720,5800,5800,1462752
2019-01-11,5800,5830,5580,5780,5780,2134494
2019-01-14,5790,5810,5700,5800,5800,1067813
2019-01-15,5800,5920,5780,5820,5820,1235010
2019-01-16,5810,5920,5770,5860,5860,1223598
2019-01-17,5920,5920,5800,5880,5880,963116
2019-01-18,5880,5910,5800,5890,5890,818648
2019-01-21,5900,5930,5810,5870,5870,657402
2019-01-22,5920,5950,5850,5860,5860,993626
2019-01-23,5820,5920,5800,5910,5910,856159
2019-01-24,5900,6040,5870,6020,6020,1796220
2019-01-25,6010,6020,5930,5940,5940,1010697
2019-01-28,5930,5990,5880,5920,5920,675572
2019-01-29,5920,6050,5890,6030,6030,1479894
2019-01-30,6050,6070,5760,5820,5820,2200878
2019-01-31,5880,5970,5830,5930,5930,1537144
2019-02-01,5910,6250,5910,6190,6190,3166502
2019-02-22,6230,6240,6150,6150,6150,649565
