date,confirmer
7월 31일,"14,305명 (+36)"
8월 1일,"14,336명 (+31)"
8월 2일,"14,366명 (+30)"
8월 3일,"14,389명 (+23)"
8월 4일,"14,423명 (+34)"
8월 5일,"14,456명 (+33)"
8월 6일,"14,499명 (+43)"
8월 7일,"14,519명 (+20)"
8월 8일,"14,562명 (+43)"
8월 9일,"14,598명 (+36)"
8월 10일,"14,626명 (+28)"
8월 11일,"14,660명 (+34)"
8월 12일,"14,714명 (+54)"
8월 13일,"14,770명 (+56)"
8월 14일,"14,873명 (+103)"
8월 15일,"15,039명 (+155)"
8월 16일,"15,318명 (+279)"
8월 17일,"15,515명 (+197)"
8월 18일,"15,761명 (+246)"
8월 19일,"16,058명 (+297)"
8월 20일,"16,346명 (+288)"
8월 21일,"16,670명 (+315)"
8월 22일,"17,002명 (+332)"
8월 23일,"17,399명 (+397)"
8월 24일,"17,665명 (+266)"
8월 25일,"17,945명 (+280)"
8월 26일,"18,265명 (+320)"
8월 27일,"18,706명 (+441)"
8월 28일,"19,077명 (+371)"
8월 29일,"19,400명 (+323)"
8월 30일,"19,699명 (+299)"
8월 31일,"19,947명 (+248)"
9월 1일,"20,182명 (+235)"
9월 2일,"20,449명 (+267)"
9월 3일,"20,644명 (+195)"
9월 4일,"20,842명 (+198)"
9월 5일,"21,010명 (+168)"
9월 6일,"21,177명 (+167)"
9월 7일,"21,296명 (+119)"
9월 8일,"21,432명 (+136)"
9월 9일,"21,588명 (+156)"
9월 10일,"21,743명 (+155)"
9월 11일,"21,919명 (+176)"
9월 12일,"22,055명 (+136)"
9월 13일,"22,176명 (+121)"
9월 14일,"22,285명 (+109)"
9월 15일,"22,391명 (+106)"
9월 16일,"22,504명 (+113)"
9월 17일,"22,657명 (+153)"
