Date,Open,High,Low,Close,Adj Close,Volume
2016-04-20,6530,6640,6400,6400,6041.407715,1064585
2016-04-21,6450,6510,6390,6490,6126.365234,844085
2016-04-22,6460,6600,6460,6590,6220.762207,801877
2016-04-25,6640,6750,6600,6710,6334.038574,1619693
2016-04-26,6730,6730,6630,6680,6305.719727,897020
2016-04-27,6720,6730,6440,6560,6192.442871,1906093
2016-04-28,6610,6840,6610,6820,6437.875488,2873202
2016-04-29,6840,6880,6700,6790,6409.556152,1703611
2016-05-02,6720,6730,6530,6590,6220.762207,1740644
2016-05-03,6670,6670,6360,6430,6069.727051,1591983
2016-05-04,6370,6380,6070,6110,5767.656738,2989769
2016-05-09,6040,6120,5850,5860,5531.664063,1635824
2016-05-10,5900,6090,5870,6070,5729.897949,1096522
2016-05-11,6070,6090,5970,6020,5682.699219,771660
2016-05-12,6000,6080,6000,6030,5692.13916,477310
2016-05-13,6030,6130,6030,6100,5758.216797,726167
2016-05-16,6130,6170,6000,6130,5786.535645,747686
2016-05-17,6170,6220,6070,6170,5824.294434,739244
2016-05-18,6160,6160,6040,6100,5758.216797,677298
2016-05-19,6090,6090,5950,5990,5654.379883,1015286
2016-05-20,5960,6140,5960,6130,5786.535645,632433
2016-05-23,6140,6160,6050,6070,5729.897949,474387
2016-05-24,6030,6130,6030,6070,5729.897949,556642
2016-05-25,6120,6130,6040,6070,5729.897949,706086
2016-05-26,6090,6150,6070,6110,5767.656738,524716
2016-05-27,6140,6140,6060,6110,5767.656738,469096
2016-05-30,6110,6130,6050,6110,5767.656738,620166
2016-05-31,6100,6210,6070,6170,5824.294434,1254810
2016-06-01,6180,6230,6100,6220,5871.493164,711084
2016-06-02,6220,6230,6150,6200,5852.61377,564020
2016-06-03,6210,6220,6070,6080,5739.337402,816576
2016-06-07,6110,6250,6060,6220,5871.493164,791685
2016-06-08,6200,6290,6190,6270,5918.691406,755062
2016-06-09,6300,6310,6210,6250,5899.8125,806298
2016-06-10,6290,6530,6250,6520,6154.68457,2441376
2016-06-13,6530,6630,6400,6480,6116.925293,1648095
2016-06-14,6480,6580,6370,6450,6088.605957,1078870
2016-06-15,6440,6480,6380,6450,6088.605957,708743
2016-06-16,6480,6480,6230,6250,5899.8125,938706
2016-06-17,6270,6380,6120,6210,5862.053711,1219045
2016-06-20,6250,6280,6190,6220,5871.493164,684988
2016-06-21,6210,6250,6170,6190,5843.174316,493230
2016-06-22,6220,6240,6160,6180,5833.734375,739159
